"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"산업중분류별(1)",산업중분류별(2),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?)
"총계",소계,2507364,18560142,89848,1957,0.48,1.05,2654107,19073438,102305,2142,0.54,1.12,2680874,18725160,109242,2020,0.58,1.08,2719308,18974513,108379,2062,0.57,1.09,2876635,19378565,122713,2080,0.63,1.07,2976026,20173615,130348,2223,0.65,1.10
"광업",소계,1054,11199,1897,457,16.94,408.07,1078,11697,2225,478,19.02,408.65,1082,11108,2543,406,22.89,365.50,1087,10664,2753,424,25.82,397.60,1071,10257,3336,349,32.52,340.26,1055,9850,3873,453,39.32,459.90
"광업",석탄광업 및 채석업,70,3357,1653,417,49.24,1242.18,70,3016,1926,431,63.86,1429.05,61,2710,2196,362,81.03,1335.79,58,2504,2395,381,95.65,1521.57,56,2425,2923,308,120.54,1270.10,58,2234,3425,418,153.31,1871.08
"광업",석회석·금속·비금속광업 및 기타광업,984,7842,244,40,3.11,51.01,1008,8681,299,47,3.44,54.14,1021,8398,347,44,4.13,52.39,1029,8160,358,43,4.39,52.70,1015,7832,413,41,5.27,52.35,997,7616,448,35,5.88,45.96
"제조업",소계,368305,4149966,25333,433,0.61,1.04,379387,4152058,27377,472,0.66,1.14,386119,4045048,29274,492,0.72,1.22,395141,4012541,28840,469,0.72,1.17,400242,3959780,31709,512,0.80,1.29,410117,3988609,31554,506,0.79,1.27
"제조업",식료품제조업,25363,297733,2173,14,0.73,0.47,26859,305672,2592,22,0.85,0.72,28538,316021,2905,19,0.92,0.60,29755,327413,2920,25,0.89,0.76,30752,328898,3287,28,1.00,0.85,32060,338515,3344,24,0.99,0.71
"제조업",담배제조업,18,2490,2,0,0.08,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",섬유 또는 섬유제품 제조업(갑),15493,91318,299,8,0.33,0.88,15898,88923,373,9,0.42,1.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",섬유 및 섬유제품 제조업,-,-,-,-,-,-,-,-,-,-,-,-,26227,179174,1081,22,0.60,1.23,27481,174703,994,16,0.57,0.92,27626,170121,1084,25,0.64,1.47,27922,165924,1167,28,0.70,1.69
"제조업",목재 및 나무제품 제조업,10988,61543,1003,9,1.63,1.46,11560,63822,1062,6,1.66,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",목재 및 종이제품 제조업,-,-,-,-,-,-,-,-,-,-,-,-,16790,116466,1601,18,1.37,1.55,17181,115192,1457,16,1.26,1.39,17675,114654,1635,9,1.43,0.78,18275,116483,1556,19,1.34,1.63
"제조업",펄프·지류제조업 및 제본 또는 인쇄물가공업,6120,64549,535,7,0.83,1.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",펄프·지류제조업,-,-,-,-,-,-,4922,55910,518,6,0.93,1.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
